Largest_100_Metro_Area,MSA_FIPS_Code,MSA_Title,STEM_Jobs2011,Pct_STEM_Jobs2011,Pct_Super_STEM_Jobs2011,STEM_Score_Avg_Job2011,Science_Knowledge_Jobs2011,Computer_Knowledge_Jobs2011,Engineering_Knowledge_Jobs2011,Math_Knowledge_Jobs2011,Pct_STEM_Assoc_Less,Pct_STEM_BA_Degree_or_Higher,Share_STEM_Assoc_Less,Share_STEM_BA_Higher,Avg_Wage2011,Avg_STEM_Wages2011,Avg_NotSTEM_Wages2011,BA_Higher_STEM_Wages2011,BA_Higher_NotSTEM_Wages2011,Assoc_Less_STEM_Wages2011,Assoc_Less_NotSTEM_Wages2011,Thou_Patents_per_Worker2007_11,Unemployment_Rate2011,Income_Inequality_Index2011,Median_Household_Income2011,Total_Jobs2011,Pct_Science_Jobs2011,Pct_Computer_Jobs2011,Pct_Engineering_Jobs2011,Pct_Math_Jobs2011,Rank_STEM_Jobs2011,Rank_Pct_STEM_Jobs2011,Rank_Pct_Super_STEM_Jobs2011,Rank_STEM_Score_Avg_Job2011,Rank_Pct_STEM_Assoc_Less,Rank_Pct_STEM_BA_or_Higher,Rank_Share_STEM_Assoc_Less,Rank_Share_STEM_BA_Higher,Rank_Thou_Patents_per_Worker,Rank_Unemployment_Rate2011,Rank_Income_Inequality_Index2011,Rank_Median_Household_Income2011,Standarized_STEM_Score
1,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",283400,0.3319784,0.1894526,-1.018638,88830,147340,191450,124620,0.0911722,0.2409384,0.2745236,0.7254764,69793.9,104110.7,52739.89,115743.8,90270.78,73368.18,42375.02,10.29076,9.9,0.4663,84012,853670,0.1040566,0.172596,0.224267,0.1459815,16,1,1,1,82,1,100,1,1,75,72,2,4.320632
1,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",765180,0.271302,0.1253014,-1.699788,284400,300030,425600,268400,0.0809048,0.1906755,0.2979037,0.7020962,62669.93,89714.02,52601.12,101057.7,85341.45,62979.38,41946.36,0.4771045,5.8,0.4381,86680,2820400,0.1008368,0.1063785,0.1509006,0.0951638,4,2,4,2,95,2,99,2,57,5,17,1,2.577503
1,37340,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",46840,0.2674279,0.1477591,-1.906411,22310,14790,29750,16210,0.1200114,0.1474165,0.4487617,0.5512382,43456.16,69881.68,33809.44,86699.97,60725.66,49222.87,29933.75,1.068733,11.1,0.4467,46429,175150,0.1273765,0.0844419,0.1698544,0.0925492,82,3,2,3,9,5,81,20,24,87,29,70,2.048735
1,12540,"Bakersfield-Delano, CA Metropolitan Statistical Area",43520,0.1787856,0.093008,-2.011871,21660,7500,27040,13950,0.1000616,0.0787754,0.5595129,0.4404871,43780.14,72934.97,37432.88,91637.66,66074.56,58210.91,32707.12,0.2625728,14.9,0.4574,45224,243420,0.088982,0.0308109,0.1110837,0.0573084,83,82,29,4,52,79,31,70,79,97,49,81,1.778852
1,42660,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",401360,0.2591258,0.1262638,-2.040932,155250,141270,242190,142220,0.0997913,0.1594801,0.3848914,0.6151086,53990.36,79489.7,45071.79,89882.49,71220.77,62880.62,38242.02,2.262789,8.7,0.448,64085,1548900,0.1002324,0.0912067,0.1563626,0.09182,11,4,3,5,53,3,97,4,8,57,30,11,1.704481
1,26420,"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area",569970,0.2275829,0.1116612,-2.049449,268560,108500,349070,187100,0.1179667,0.1097408,0.5180624,0.4819376,47267.45,73584.51,39513.47,95997.07,69589.32,52734.78,33209.98,0.8354202,8.1,0.4854,54901,2504450,0.1072331,0.0433229,0.1393799,0.074707,6,12,6,6,12,23,54,47,33,36,93,35,1.682685
1,31540,"Madison, WI Metropolitan Statistical Area",75320,0.2402705,0.1046957,-2.20737,35740,20630,37530,22890,0.0994251,0.141137,0.4133032,0.5866967,45748,67359.31,38913.25,74982.7,61546.33,56537.66,33145.49,1.325291,5.3,0.4379,59674,313480,0.1140105,0.0658096,0.1197206,0.073019,58,5,11,7,56,6,94,7,22,2,15,16,1.278552
1,14460,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",554510,0.2392574,0.1081795,-2.215613,263650,144390,267180,200580,0.1031056,0.1363729,0.4305423,0.5694577,56515.53,84031.75,47861.54,97306.88,80003.64,66473.38,38051.1,1.616525,6.6,0.4767,69455,2317630,0.1137585,0.0623007,0.1152816,0.0865453,7,6,9,8,40,7,89,12,16,9,87,6,1.257457
1,12580,"Baltimore-Towson, MD Metropolitan Statistical Area",281730,0.2308127,0.1058004,-2.256336,130670,71440,142690,85130,0.1001148,0.1308493,0.4334647,0.5665354,50474.72,75133.27,43075.34,87856.76,68027.05,58503.77,36261.71,0.533444,7.5,0.4522,65463,1220600,0.1070539,0.0585286,0.1169015,0.0697444,17,8,10,9,51,10,88,13,55,25,36,9,1.153243
1,41740,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",271730,0.2264681,0.1156135,-2.271762,126810,70390,152370,99640,0.0928167,0.1338082,0.4095609,0.590439,50039.17,78739.97,41636.39,92541.48,71551.5,58843.17,35258.49,2.304763,10,0.4616,59477,1199860,0.1056873,0.0586652,0.1269898,0.083043,19,14,5,10,79,9,95,6,7,77,60,17,1.113765
